Lot,Wafer,Mask,Name,Row,Column,I at -1V [A],I at 1V [A]
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,1.209331e-10,1.291028e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,1.228184e-10,1.283068e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,1.191315e-10,1.277203e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,1.204304e-10,1.300245e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,3,,1.218548e-10,1.334181e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,3.047158e-07,0.004221569
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,2.998289e-07,0.002944735
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,2.330585e-07,0.004511872
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,2.549133e-07,0.00192262
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,2.656578e-07,0.003493654
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,2.258531e-07,0.004335667
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-4,,2.633351e-07,0.00227457
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,2.544434e-07,0.002145134
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,3.055918e-07,0.005187034
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,2.787125e-07,0.003622514
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,2.901249e-07,0.004256894
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,2.511984e-07,0.004634428
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,2.305046e-07,0.004386544
HY202103,D24,LION1,MZMOTE_LULAB_380_500,3,,2.369815e-07,0.004200758
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,4.814727e-08,0.006532866
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,6.663287e-08,0.006519705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-4,,7.783068e-08,0.006401758
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,6.760271e-08,0.006039913
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,8.955287e-09,0.006707282
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,4.150557e-08,0.006591849
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.594612e-08,0.006384568
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,6.184592e-08,0.006069297
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.804727e-08,0.006130083
HY202103,D07,LION1,MZMCTE_LULAB_450_500,3,,4.971618e-08,0.005950628
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.312546e-08,0.006792969
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,6.287032e-08,0.006482825
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.356805e-08,0.006656053
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,6.76181e-08,0.006389174
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,3.847792e-08,0.006725123
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,5.937685e-08,0.006824251
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-4,,7.64046e-08,0.006439532
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,7.636219e-08,0.006464111
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,7.203803e-08,0.006919174
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,3.444476e-08,0.006729574
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,3.536833e-08,0.00634805
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,6.346043e-08,0.006409498
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,3.94475e-08,0.006442896
HY202103,D08,LION1,MZMOTE_LULAB_380_500,3,,5.300257e-08,0.006356055
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,1.080882e-12,0.005356431
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,4.894235e-10,0.004992432
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,2.689357e-10,0.005288172
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,5.6015e-10,0.004806489
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,2.785752e-10,0.005238293
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,1.991348e-09,0.00534096
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-4,,2.718284e-09,0.005056953
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,2.07831e-09,0.004971176
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,5.754345e-12,0.005455126
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,7.961963e-11,0.005282801
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,4.573714e-11,0.00488411
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,1.951419e-09,0.00500029
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,3.995418e-10,0.005182757
HY202103,D08,LION1,MZMCTE_LULAB_450_500,3,,8.534919e-10,0.005047702
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.208074e-10,1.34298e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.187963e-10,1.255417e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.212264e-10,1.348007e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.176231e-10,1.280554e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.207655e-10,1.306949e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.206398e-10,1.288096e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-4,,1.177069e-10,1.276365e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.202628e-10,1.28223e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.195505e-10,1.27008e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.202209e-10,1.329992e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.171204e-10,1.316585e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.208074e-10,1.336695e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.203885e-10,1.311139e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,3,,1.167433e-10,1.296475e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,2.139364e-07,0.004848104
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,2.206549e-07,0.004275683
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.337233e-07,0.004415526
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.893912e-07,0.00458204
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.735403e-07,0.004446676
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,4.814727e-08,0.006532866
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,6.663287e-08,0.006519705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-4,,7.783068e-08,0.006401758
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,6.760271e-08,0.006039913
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,8.955287e-09,0.006707282
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,4.150557e-08,0.006591849
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.594612e-08,0.006384568
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,6.184592e-08,0.006069297
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.804727e-08,0.006130083
HY202103,D07,LION1,MZMCTE_LULAB_450_500,3,,4.971618e-08,0.005950628
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.312546e-08,0.006792969
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,6.287032e-08,0.006482825
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.356805e-08,0.006656053
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,6.76181e-08,0.006389174
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,3.847792e-08,0.006725123
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,5.937685e-08,0.006824251
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-4,,7.64046e-08,0.006439532
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,7.636219e-08,0.006464111
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,7.203803e-08,0.006919174
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,3.444476e-08,0.006729574
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,3.536833e-08,0.00634805
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,6.346043e-08,0.006409498
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,3.94475e-08,0.006442896
HY202103,D08,LION1,MZMOTE_LULAB_380_500,3,,5.300257e-08,0.006356055
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,1.080882e-12,0.005356431
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,4.894235e-10,0.004992432
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,2.689357e-10,0.005288172
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,5.6015e-10,0.004806489
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,2.785752e-10,0.005238293
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,1.991348e-09,0.00534096
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-4,,2.718284e-09,0.005056953
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,2.07831e-09,0.004971176
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,5.754345e-12,0.005455126
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,7.961963e-11,0.005282801
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,4.573714e-11,0.00488411
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,1.951419e-09,0.00500029
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,3.995418e-10,0.005182757
HY202103,D08,LION1,MZMCTE_LULAB_450_500,3,,8.534919e-10,0.005047702
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.208074e-10,1.34298e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.187963e-10,1.255417e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.212264e-10,1.348007e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.176231e-10,1.280554e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.207655e-10,1.306949e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.206398e-10,1.288096e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-4,,1.177069e-10,1.276365e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.202628e-10,1.28223e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.195505e-10,1.27008e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.202209e-10,1.329992e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.171204e-10,1.316585e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.208074e-10,1.336695e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.203885e-10,1.311139e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,3,,1.167433e-10,1.296475e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,2.139364e-07,0.004848104
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,2.206549e-07,0.004275683
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.337233e-07,0.004415526
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.893912e-07,0.00458204
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.735403e-07,0.004446676
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.435766e-07,0.003458655
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-4,,1.996838e-07,0.004697751
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.758982e-07,0.00446655
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,2.389178e-07,0.00438493
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.709376e-07,0.003800664
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.885348e-07,0.004698496
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.556117e-07,0.004886194
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.302277e-07,0.004633154
HY202103,D23,LION1,MZMOTE_LULAB_380_500,3,,1.358143e-07,0.004295274
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,1.17707e-10,1.333762e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,1.184192e-10,1.283487e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,1.196762e-10,1.271337e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,1.205979e-10,1.252065e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,1.227765e-10,1.257093e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,1.130561e-10,1.353872e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-4,,1.203047e-10,1.222319e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,1.223995e-10,1.327059e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,1.200114e-10,1.300665e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,1.209331e-10,1.291028e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,1.228184e-10,1.283068e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,1.191315e-10,1.277203e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,1.204304e-10,1.300245e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,3,,1.218548e-10,1.334181e-10
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,3.047158e-07,0.004221569
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,2.998289e-07,0.002944735
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-1,,2.330585e-07,0.004511872
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,2.549133e-07,0.00192262
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,2.656578e-07,0.003493654
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-3,,2.258531e-07,0.004335667
HY202103,D24,LION1,MZMOTE_LULAB_380_500,-4,,2.633351e-07,0.00227457
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,2.544434e-07,0.002145134
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,3.055918e-07,0.005187034
HY202103,D24,LION1,MZMOTE_LULAB_380_500,0,,2.787125e-07,0.003622514
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,2.901249e-07,0.004256894
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,2.511984e-07,0.004634428
HY202103,D24,LION1,MZMOTE_LULAB_380_500,2,,2.305046e-07,0.004386544
HY202103,D24,LION1,MZMOTE_LULAB_380_500,3,,2.369815e-07,0.004200758
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,4.814727e-08,0.006532866
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,6.663287e-08,0.006519705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-4,,7.783068e-08,0.006401758
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,6.760271e-08,0.006039913
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,8.955287e-09,0.006707282
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,4.150557e-08,0.006591849
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.594612e-08,0.006384568
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,6.184592e-08,0.006069297
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.804727e-08,0.006130083
HY202103,D07,LION1,MZMCTE_LULAB_450_500,3,,4.971618e-08,0.005950628
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.312546e-08,0.006792969
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,6.287032e-08,0.006482825
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.356805e-08,0.006656053
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,6.76181e-08,0.006389174
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,3.847792e-08,0.006725123
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-3,,5.937685e-08,0.006824251
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-4,,7.64046e-08,0.006439532
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,7.636219e-08,0.006464111
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,7.203803e-08,0.006919174
HY202103,D08,LION1,MZMOTE_LULAB_380_500,0,,3.444476e-08,0.006729574
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,3.536833e-08,0.00634805
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,6.346043e-08,0.006409498
HY202103,D08,LION1,MZMOTE_LULAB_380_500,2,,3.94475e-08,0.006442896
HY202103,D08,LION1,MZMOTE_LULAB_380_500,3,,5.300257e-08,0.006356055
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,1.080882e-12,0.005356431
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,4.894235e-10,0.004992432
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-1,,2.689357e-10,0.005288172
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,5.6015e-10,0.004806489
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,2.785752e-10,0.005238293
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-3,,1.991348e-09,0.00534096
HY202103,D08,LION1,MZMCTE_LULAB_450_500,-4,,2.718284e-09,0.005056953
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,2.07831e-09,0.004971176
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,5.754345e-12,0.005455126
HY202103,D08,LION1,MZMCTE_LULAB_450_500,0,,7.961963e-11,0.005282801
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,4.573714e-11,0.00488411
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,1.951419e-09,0.00500029
HY202103,D08,LION1,MZMCTE_LULAB_450_500,2,,3.995418e-10,0.005182757
HY202103,D08,LION1,MZMCTE_LULAB_450_500,3,,8.534919e-10,0.005047702
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.208074e-10,1.34298e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.187963e-10,1.255417e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,1.212264e-10,1.348007e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.176231e-10,1.280554e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.207655e-10,1.306949e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-3,,1.206398e-10,1.288096e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-4,,1.177069e-10,1.276365e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.202628e-10,1.28223e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.195505e-10,1.27008e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,0,,1.202209e-10,1.329992e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.171204e-10,1.316585e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.208074e-10,1.336695e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,2,,1.203885e-10,1.311139e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,3,,1.167433e-10,1.296475e-10
HY202103,D23,LION1,MZMOTE_LULAB_380_500,-1,,2.139364e-07,0.004848104
